policy,seed,step,value
rnd_node,7,2,0.7647058823529411
rnd_node,7,3,0.5882352941176471
rnd_node,7,4,0.47058823529411764
rnd_node,7,5,0.23529411764705882
rnd_node,7,6,0.23529411764705882
rnd_node,7,7,0.23529411764705882
rnd_node,7,8,0.14705882352941177
rnd_node,8,0,1.0
rnd_node,8,1,0.9705882352941176
rnd_node,8,2,0.7647058823529411
rnd_node,8,3,0.5882352941176471
rnd_node,8,4,0.47058823529411764
rnd_node,8,5,0.23529411764705882
rnd_node,8,6,0.23529411764705882
rnd_node,8,7,0.23529411764705882
rnd_node,8,8,0.14705882352941177
rnd_node,9,0,1.0
rnd_node,9,1,0.9705882352941176
rnd_node,9,2,0.7647058823529411
rnd_node,9,3,0.7647058823529411
rnd_node,9,4,0.6470588235294118
rnd_node,9,5,0.47058823529411764
rnd_node,9,6,0.47058823529411764
rnd_node,9,7,0.47058823529411764
rnd_node,9,8,0.4411764705882353
rnd_node,10,0,1.0
rnd_node,10,1,0.9705882352941176
rnd_node,10,2,0.9705882352941176
rnd_node,10,3,0.7941176470588235
rnd_node,10,4,0.7647058823529411
rnd_node,10,5,0.7058823529411765
rnd_node,10,6,0.6764705882352942
rnd_node,10,7,0.6470588235294118
rnd_node,10,8,0.5588235294117647
rnd_node,11,0,1.0
rnd_node,11,1,0.9705882352941176
rnd_node,11,2,0.7647058823529411
rnd_node,11,3,0.5882352941176471
rnd_node,11,4,0.47058823529411764
rnd_node,11,5,0.47058823529411764
rnd_node,11,6,0.4117647058823529
rnd_node,11,7,0.4117647058823529
rnd_node,11,8,0.3235294117647059
rnd_node,12,0,1.0
rnd_node,12,1,0.9705882352941176
rnd_node,12,2,0.7647058823529411
rnd_node,12,3,0.5882352941176471
rnd_node,12,4,0.47058823529411764
rnd_node,12,5,0.47058823529411764
rnd_node,12,6,0.4117647058823529
rnd_node,12,7,0.4117647058823529
rnd_node,12,8,0.3235294117647059
rnd_node,13,0,1.0
rnd_node,13,1,0.9705882352941176
rnd_node,13,2,0.7647058823529411
rnd_node,13,3,0.5882352941176471
rnd_node,13,4,0.47058823529411764
rnd_node,13,5,0.23529411764705882
rnd_node,13,6,0.23529411764705882
rnd_node,13,7,0.23529411764705882
rnd_node,13,8,0.14705882352941177
rnd_node,14,0,1.0
rnd_node,14,1,0.9705882352941176
rnd_node,14,2,0.7647058823529411
rnd_node,14,3,0.5882352941176471
rnd_node,14,4,0.47058823529411764
rnd_node,14,5,0.23529411764705882
rnd_node,14,6,0.23529411764705882
rnd_node,14,7,0.23529411764705882
rnd_node,14,8,0.14705882352941177
rnd_node,15,0,1.0
rnd_node,15,1,0.9705882352941176
rnd_node,15,2,0.7647058823529411
rnd_node,15,3,0.5882352941176471
rnd_node,15,4,0.47058823529411764
rnd_node,15,5,0.47058823529411764
rnd_node,15,6,0.4117647058823529
