model,run,step,node_or_outcome,value
voter,6,3,tracked_state_1,10
voter,6,4,tracked_state_1,10
voter,6,5,tracked_state_1,10
voter,6,6,tracked_state_1,10
voter,6,7,tracked_state_1,10
voter,6,8,tracked_state_1,10
voter,6,9,tracked_state_1,10
voter,6,10,tracked_state_1,10
voter,6,11,tracked_state_1,10
voter,6,12,tracked_state_1,10
voter,6,13,tracked_state_1,10
voter,6,14,tracked_state_1,10
voter,6,15,tracked_state_1,10
voter,6,16,tracked_state_1,10
voter,6,17,tracked_state_1,10
voter,6,18,tracked_state_1,10
voter,6,19,tracked_state_1,10
voter,6,20,tracked_state_1,10
voter,6,21,tracked_state_1,10
voter,6,22,tracked_state_1,10
voter,6,23,tracked_state_1,10
voter,6,24,tracked_state_1,10
voter,6,25,tracked_state_1,10
voter,6,26,tracked_state_1,10
voter,6,27,tracked_state_1,10
voter,6,28,tracked_state_1,10
voter,6,29,tracked_state_1,10
voter,6,30,tracked_state_1,10
voter,6,31,tracked_state_1,10
voter,6,32,tracked_state_1,10
voter,6,33,tracked_state_1,10
voter,6,34,tracked_state_1,10
voter,6,35,tracked_state_1,10
voter,6,36,tracked_state_1,9
voter,6,37,tracked_state_1,9
voter,6,38,tracked_state_1,9
voter,6,39,tracked_state_1,9
voter,6,40,tracked_state_1,9
voter,6,41,tracked_state_1,9
voter,6,42,tracked_state_1,8
voter,6,43,tracked_state_1,8
voter,6,44,tracked_state_1,8
voter,6,45,tracked_state_1,8
voter,6,46,tracked_state_1,8
voter,6,47,tracked_state_1,8
voter,6,48,tracked_state_1,8
voter,6,49,tracked_state_1,8
voter,6,50,tracked_state_1,8
voter,6,51,tracked_state_1,8
voter,6,52,tracked_state_1,8
voter,6,53,tracked_state_1,8
voter,6,54,tracked_state_1,8
voter,6,55,tracked_state_1,8
voter,6,56,tracked_state_1,8
voter,6,57,tracked_state_1,8
voter,6,58,tracked_state_1,8
voter,6,59,tracked_state_1,9
voter,6,60,tracked_state_1,9
voter,6,61,tracked_state_1,9
voter,6,62,tracked_state_1,9
voter,6,63,tracked_state_1,9
voter,6,64,tracked_state_1,9
voter,6,65,tracked_state_1,9
voter,6,66,tracked_state_1,9
voter,6,67,tracked_state_1,9
voter,6,68,tracked_state_1,9
