policy,seed,step,value
rnd_node,3,18,0.9456118665018541
rnd_node,3,19,0.9443757725587144
rnd_node,3,20,0.9431396786155748
rnd_node,3,21,0.9419035846724351
rnd_node,3,22,0.9406674907292955
rnd_node,3,23,0.9394313967861557
rnd_node,3,24,0.9381953028430161
rnd_node,3,25,0.9122373300370828
rnd_node,3,26,0.9085290482076638
rnd_node,3,27,0.907292954264524
rnd_node,3,28,0.9060568603213844
rnd_node,3,29,0.9048207663782447
rnd_node,3,30,0.9023485784919654
rnd_node,4,0,1.0
rnd_node,4,1,0.9987639060568603
rnd_node,4,2,0.9975278121137207
rnd_node,4,3,0.9962917181705809
rnd_node,4,4,0.9950556242274413
rnd_node,4,5,0.9938195302843016
rnd_node,4,6,0.9901112484548825
rnd_node,4,7,0.9876390605686032
rnd_node,4,8,0.9864029666254636
rnd_node,4,9,0.9851668726823238
rnd_node,4,10,0.9839307787391842
rnd_node,4,11,0.9802224969097652
rnd_node,4,12,0.9381953028430161
rnd_node,4,13,0.9369592088998764
rnd_node,4,14,0.9357231149567367
rnd_node,4,15,0.934487021013597
rnd_node,4,16,0.9332509270704573
rnd_node,4,17,0.9320148331273177
rnd_node,4,18,0.930778739184178
rnd_node,4,19,0.9283065512978986
rnd_node,4,20,0.9208899876390606
rnd_node,4,21,0.9196538936959209
rnd_node,4,22,0.9184177997527813
rnd_node,4,23,0.9171817058096415
